DFF,DFR,Altitude,Draw_D,Drain_D,LS,Lineam_D,MRVBF,MRRTF,LULC,SCA,Prifile_C,Plan_C,TRI,SPI,Slope,TWI,TPI,litho_recl,geomorph_R,grid_code,well_M
5.4134,3.43759,162,1.73114,2.15677,0.23368,0.71351,5.92713,4.89376,5,14.60806,-0.00111,0,0.44721,27.90753,0.01667,7.48743,-1.21622,1,5,20,4
5.40616,3.42171,162,1.7345,2.15737,0.64785,0.71351,5.91825,4.88212,5,12.75007,-0.00326,-0.02214,1.41421,82.47059,0.05266,7.21814,-1.27027,1,5,20,4
5.39908,3.40602,163,1.73786,2.1575,0.03001,0.71351,5.93765,4.90984,2,9.80181,0,0,0.89443,0,0,9.01142,-0.35135,1,5,20,4
5.39216,3.39053,162,1.74123,2.15537,0.23391,0.71351,5.932,4.90239,2,12.64743,-0.00333,0,1,28.73059,0.01667,7.4807,-1.43243,1,5,20,4
5.3854,3.37523,164,1.74459,2.14548,0.95777,0.71351,5.72159,4.64008,2,14.55844,-0.00066,0.02133,1.61245,120.55466,0.08314,6.78509,0.24324,1,5,20,4
5.38431,3.41223,162,1.72968,2.16164,0.81862,0.71351,5.80939,4.73026,5,14.45552,-0.00469,-0.0275,1.89737,118.23398,0.07059,6.75223,-1.32432,1,5,20,4
5.37703,3.39623,165,1.73307,2.16258,1.12754,0.71351,5.63281,4.52808,2,11.71573,0.0011,0.08,2.48998,83.69586,0.08314,6.68941,1.43243,1,5,20,4
5.36992,3.38043,162,1.73647,2.16186,0.64602,0.71351,5.84822,4.78306,2,11.84636,-0.00227,-0.04111,1.41421,77.34211,0.05266,7.10678,-1.86486,1,5,20,4
5.36296,3.36482,162,1.73986,2.16019,0.93024,0.71351,5.74176,4.65068,2,19.5062,-0.00441,0,1.78885,128.45879,0.06657,6.80003,-1.97297,1,5,20,4
5.35616,3.3494,166,1.74326,2.15225,1.16584,0.71351,1.57465,3.75262,2,14.55844,0.00198,0.02505,2.09762,113.37853,0.09688,6.63235,1.91892,1,5,20,4
5.35523,3.38695,165,1.72822,2.16468,1.4982,0.71351,0.37739,0.49227,5,17.57359,0.00027,0.0165,2.28035,146.30301,0.11731,6.399,1.64865,1,5,20,4
5.34792,3.37083,167,1.73165,2.16599,0.80141,0.71351,5.06902,4.00702,5,11.71573,0.00386,0.07071,2.60768,67.37048,0.07059,6.73437,3.32432,1,5,20,4
5.34076,3.35491,162,1.73508,2.16537,1.22929,0.71351,2.95782,3.64182,2,24.84892,-0.00514,-0.03783,2.60768,280.98212,0.09688,6.76256,-2.21622,1,5,20,4
5.33376,3.33918,162,1.73851,2.1646,1.14321,0.71351,3.5477,3.75177,2,25.32931,-0.00428,-0.03842,2.40832,321.62143,0.08951,6.75594,-2.56757,1,5,20,4
5.32692,3.32364,167,1.74194,2.15864,1.35667,0.71351,3.91603,3.86383,2,13.59245,0.00417,0.03495,2.48998,99.13441,0.10103,6.53522,2.54054,1,5,20,4
5.32616,3.36174,167,1.72678,2.16711,1.43928,0.71351,0.06561,0.95734,2,13.59245,0.00438,0.04444,2.60768,98.46924,0.09967,6.43607,3.54054,1,5,20,4
5.31881,3.3455,168,1.73024,2.16762,0.44541,0.71351,5.81098,4.71854,2,10.29437,0.00444,0.02981,1.48324,33.54102,0.03725,7.30328,4.13514,1,5,20,4
5.31161,3.32946,165,1.7337,2.1674,0.9521,0.71351,5.68503,4.56025,5,24.77289,0.00004,0.0128,1.94936,104.51392,0.08314,6.79375,0.59459,1,5,20,4
5.30457,3.31361,164,1.73716,2.16748,0.45781,0.71351,5.89235,4.82957,2,51.4891,0.00222,-0.06667,1.09545,60.33029,0.03332,7.18035,-0.91892,1,5,20,4
5.2977,3.29795,165,1.74062,2.16389,0.81277,0.71351,5.82503,4.73491,2,14.55844,-0.00276,0.00786,1.41421,100.66522,0.07059,7.01457,0.27027,1,5,20,4
5.2971,3.33662,165,1.72535,2.16885,1.55803,0.71351,0.47552,0.5338,2,17.57359,-0.00075,0.0064,2.28035,155.40681,0.11961,6.43124,1.05405,1,5,20,4
5.28971,3.32026,168,1.72884,2.16935,0.66794,0.71351,5.81775,4.71731,5,10.29437,0.00332,0.13333,2.32379,45,0.04996,7.11886,3.83784,1,5,20,4
5.28247,3.30409,165,1.73233,2.16936,0.90423,0.71351,5.88601,4.81354,5,24.85281,-0.00221,0,1.41421,78.43251,0.06657,7.06597,0.45946,1,5,20,4
5.2754,3.28812,164,1.73583,2.16969,0.23523,0.71351,5.94042,4.89786,2,33.65855,-0.00111,0,0.44721,33.55654,0.01667,7.63806,-0.86486,1,5,20,4
5.26848,3.27234,164,1.73932,2.16756,0.23223,0.71351,5.94101,4.89817,2,19.12789,-0.00111,0,0.44721,22.90436,0.01667,7.75322,-0.83784,1,5,20,4
18.64316,5.12509,174,2.4396,0.82614,0.23348,0,3.25013,5.86611,2,23.59939,-0.00111,0,0.44721,27.2159,0.01667,7.87874,-1.02703,1,5,3.44,3
18.61328,5.15442,174,2.43922,0.83154,0.03001,0,3.41687,5.86879,2,23.28598,0,0,0,0,0,10.92227,-0.94595,1,5,3.44,3
18.5834,5.18375,174,2.43882,0.83714,0.03001,0,3.54509,5.86718,2,21.74237,0,0,0,0,0,8.47787,-1,1,5,3.44,3
18.55351,5.2131,174,2.43841,0.851,0.46224,0,3.21737,5.83245,2,23.20752,-0.00288,-0.01193,1,90.87529,0.03725,7.35192,-1.2973,1,5,3.44,3
18.52363,5.24245,175,2.43799,0.85505,0.97372,0,2.61054,5.34822,2,22.16388,-0.00233,-0.01173,1.73205,166.63112,0.08314,7.03645,-0.59459,1,5,3.44,3
18.64584,5.13149,174,2.43745,0.81549,0.03001,0,3.21971,5.86624,2,22.98969,0,0,0,0,0,8.63345,-1.35135,1,5,3.44,3
18.61596,5.16078,174,2.43707,0.82707,0.03001,0,3.33149,5.86488,2,20.61639,0,0,0,0,0,8.59794,-1.27027,1,5,3.44,3
18.58608,5.19009,174,2.43667,0.83248,0.71742,0,2.92055,5.7885,2,28.18042,-0.00374,-0.02987,1.61245,133.88866,0.06002,7.39842,-1.37838,1,5,3.44,3
18.55621,5.2194,176,2.43626,0.83764,0.96215,0,2.68541,5.62664,2,26.4072,0.00066,0.00533,1.61245,133.05115,0.08314,7.12676,0.35135,1,5,3.44,3
